iter	Passed	Remaining
193	854	3551
194	858	3542
195	861	3533
196	864	3524
197	868	3516
198	871	3507
199	874	3499
200	878	3491
201	881	3483
202	885	3475
203	888	3468
204	892	3459
205	895	3450
206	898	3443
207	902	3434
208	905	3426
209	908	3418
210	912	3412
211	915	3404
212	919	3396
213	922	3388
214	925	3380
215	929	3372
216	932	3365
217	935	3357
218	939	3349
219	942	3341
220	946	3335
221	949	3327
222	952	3319
223	955	3311
224	959	3304
225	962	3297
226	966	3289
227	969	3282
228	972	3275
229	976	3267
230	979	3259
231	982	3252
232	985	3245
233	989	3237
234	992	3230
235	995	3223
236	998	3216
237	1002	3209
238	1005	3202
239	1009	3195
240	1012	3188
241	1015	3181
242	1019	3175
243	1023	3169
244	1026	3163
245	1030	3158
246	1033	3152
247	1037	3144
248	1040	3138
249	1044	3132
250	1047	3126
251	1051	3119
252	1054	3112
253	1057	3106
254	1061	3099
255	1064	3094
256	1068	3090
257	1072	3085
258	1076	3081
259	1080	3076
260	1085	3073
261	1089	3069
262	1093	3065
263	1097	3060
264	1101	3056
265	1105	3051
266	1109	3046
267	1113	3042
268	1118	3038
269	1122	3034
270	1126	3029
271	1130	3025
272	1135	3022
273	1139	3020
274	1144	3016
275	1150	3017
276	1154	3013
277	1160	3012
278	1165	3012
279	1169	3008
280	1174	3003
281	1178	3001
282	1183	2998
283	1187	2993
284	1191	2988
285	1195	2985
286	1200	2981
287	1204	2977
288	1209	2974
289	1213	2970
290	1217	2965
291	1221	2961
292	1225	2956
293	1229	2951
294	1233	2948
295	1237	2943
296	1241	2938
297	1245	2933
298	1249	2928
299	1253	2924
300	1257	2919
301	1260	2914
302	1264	2908
303	1270	2908
304	1275	2906
305	1279	2901
306	1284	2899
307	1289	2896
308	1293	2892
309	1297	2888
310	1302	2886
311	1307	2883
312	1312	2880
313	1318	2879
314	1322	2875
315	1328	2875
316	1332	2870
317	1338	2870
318	1344	2869
319	1348	2866
320	1352	2861
321	1357	2858
322	1362	2855
323	1366	2851
324	1372	2851
325	1377	2847
326	1381	2842
327	1385	2837
328	1388	2832
329	1393	2828
330	1397	2824
331	1402	2821
332	1406	2816
333	1411	2814
334	1415	2809
335	1419	2805
336	1423	2801
337	1427	2796
338	1431	2792
339	1436	2788
340	1440	2783
341	1444	2778
342	1448	2774
343	1452	2770
344	1456	2764
345	1460	2760
346	1464	2755
347	1468	2751
348	1472	2746
349	1476	2742
350	1480	2737
351	1484	2733
352	1489	2729
353	1493	2725
354	1497	2720
355	1501	2715
356	1504	2710
357	1508	2705
358	1513	2702
359	1518	2698
360	1522	2695
361	1527	2691
362	1531	2687
363	1535	2683
364	1540	2679
365	1544	2675
366	1548	2670
367	1552	2665
368	1556	2661
369	1560	2656
370	1564	2651
371	1568	2647
372	1573	2644
373	1577	2640
374	1581	2635
375	1585	2630
376	1589	2626
377	1593	2621
378	1597	2617
379	1601	2612
380	1605	2607
381	1608	2602
382	1612	2597
383	1616	2592
384	1620	2588
385	1623	2583
386	1627	2577
387	1630	2572
388	1634	2567
389	1637	2561
390	1640	2555
391	1644	2550
392	1648	2546
393	1652	2541
394	1655	2536
395	1659	2531
396	1663	2526
397	1666	2520
398	1670	2515
399	1673	2510
400	1677	2505
401	1680	2500
402	1684	2495
403	1688	2490
404	1691	2485
405	1695	2480
406	1698	2475
407	1702	2470
408	1705	2465
409	1709	2460
410	1713	2455
411	1717	2450
412	1720	2445
413	1723	2440
414	1727	2434
415	1730	2429
416	1734	2424
417	1738	2420
418	1741	2415
419	1745	2410
420	1749	2405
421	1752	2400
422	1756	2395
423	1759	2389
424	1762	2385
425	1766	2380
426	1770	2375
427	1773	2370
428	1777	2365
429	1780	2360
430	1783	2355
431	1787	2349
432	1790	2345
433	1794	2340
434	1798	2335
435	1801	2330
436	1804	2325
437	1808	2320
438	1811	2315
439	1815	2310
440	1819	2305
441	1822	2300
442	1825	2295
443	1828	2290
444	1832	2285
445	1835	2280
446	1839	2276
447	1844	2272
448	1848	2268
449	1852	2263
450	1856	2259
451	1859	2254
452	1863	2249
453	1866	2245
454	1870	2240
455	1874	2236
456	1877	2231
457	1881	2226
458	1884	2221
459	1888	2216
460	1891	2211
461	1895	2206
462	1898	2201
463	1901	2197
464	1905	2192
465	1909	2187
466	1913	2183
467	1916	2178
468	1920	2174
469	1923	2169
470	1927	2164
471	1930	2159
472	1934	2155
473	1937	2150
474	1941	2145
475	1945	2141
476	1948	2136
477	1952	2132
478	1955	2127
479	1959	2122
480	1963	2118
481	1967	2113
482	1970	2109
483	1974	2104
484	1977	2100
485	1981	2095
486	1984	2090
487	1987	2085
488	1991	2081
489	1995	2076
490	1999	2072
491	2002	2067
492	2006	2063
493	2009	2058
494	2013	2054
495	2017	2050
496	2021	2046
497	2025	2041
498	2029	2037
499	2033	2033
500	2037	2029
501	2041	2025
502	2045	2020
503	2049	2016
504	2053	2012
505	2057	2008
506	2061	2004
507	2065	2000
508	2069	1996
509	2073	1992
510	2077	1987
511	2081	1984
512	2086	1980
513	2090	1976
514	2094	1972
515	2098	1968
516	2102	1964
517	2106	1959
518	2110	1955
519	2114	1951
520	2118	1947
521	2122	1943
522	2126	1939
523	2130	1935
524	2134	1931
525	2139	1927
526	2143	1923
527	2147	1919
528	2151	1916
529	2155	1911
530	2159	1907
531	2164	1903
532	2168	1899
533	2172	1895
534	2176	1891
535	2180	1887
536	2184	1883
537	2188	1879
538	2192	1875
539	2196	1870
540	2200	1866
541	2204	1862
542	2208	1858
543	2212	1854
544	2215	1849
545	2219	1845
546	2223	1841
547	2227	1837
548	2231	1833
549	2235	1829
550	2239	1825
551	2243	1820
552	2247	1816
553	2251	1812
554	2255	1808
555	2259	1804
556	2264	1800
557	2268	1796
558	2272	1792
559	2275	1788
560	2279	1783
561	2283	1779
562	2287	1775
563	2291	1771
564	2295	1766
565	2298	1762
566	2302	1758
567	2306	1754
568	2310	1750
569	2314	1746
570	2319	1742
571	2323	1738
572	2327	1734
573	2331	1730
574	2335	1726
575	2339	1722
576	2343	1717
577	2347	1713
578	2351	1709
579	2355	1705
580	2359	1701
581	2363	1697
582	2367	1693
583	2370	1688
584	2374	1684
585	2378	1680
586	2382	1676
587	2386	1671
588	2390	1667
589	2394	1663
590	2397	1659
591	2401	1655
592	2405	1650
593	2409	1646
594	2413	1642
595	2417	1638
596	2421	1634
597	2425	1630
598	2429	1626
599	2433	1622
600	2437	1618
601	2441	1614
602	2446	1610
603	2450	1606
604	2454	1602
605	2458	1598
606	2461	1593
607	2465	1589
608	2469	1585
609	2473	1581
610	2477	1577
611	2481	1573
612	2485	1568
613	2489	1564
614	2493	1560
615	2497	1556
616	2501	1552
617	2504	1548
618	2509	1544
619	2512	1540
620	2516	1535
621	2520	1531
622	2524	1527
623	2528	1523
624	2532	1519
625	2536	1515
626	2540	1511
627	2544	1507
628	2548	1503
629	2552	1499
630	2556	1494
631	2560	1490
632	2564	1486
633	2567	1482
634	2571	1478
635	2575	1473
636	2579	1469
637	2582	1465
638	2586	1461
639	2590	1457
640	2594	1453
641	2598	1448
642	2602	1444
643	2605	1440
644	2609	1436
645	2612	1431
646	2616	1427
647	2619	1423
648	2623	1418
649	2626	1414
650	2630	1410
651	2633	1405
652	2637	1401
653	2641	1397
654	2644	1393
655	2648	1388
656	2651	1384
657	2655	1380
658	2659	1375
659	2662	1371
660	2665	1367
661	2669	1362
662	2673	1358
663	2676	1354
664	2679	1349
665	2683	1345
666	2686	1341
667	2690	1337
668	2694	1332
669	2697	1328
670	2701	1324
671	2704	1320
672	2707	1315
673	2711	1311
674	2715	1307
675	2718	1303
676	2722	1298
677	2725	1294
678	2729	1290
679	2732	1286
680	2736	1281
681	2739	1277
682	2743	1273
683	2746	1268
684	2749	1264
685	2753	1260
686	2757	1256
687	2761	1252
688	2764	1247
689	2768	1243
690	2771	1239
691	2775	1235
692	2779	1231
693	2782	1226
694	2785	1222
695	2789	1218
696	2792	1214
697	2795	1209
698	2799	1205
699	2802	1201
700	2806	1196
701	2810	1192
702	2813	1188
703	2817	1184
704	2821	1180
705	2824	1176
706	2828	1172
707	2832	1168
708	2835	1163
709	2838	1159
710	2842	1155
711	2845	1150
712	2849	1146
713	2852	1142
714	2855	1138
715	2859	1134
716	2863	1130
717	2867	1126
718	2871	1122
719	2874	1117
720	2878	1113
721	2882	1109
722	2885	1105
723	2889	1101
724	2892	1097
725	2896	1093
726	2899	1088
727	2903	1084
728	2907	1080
729	2910	1076
730	2914	1072
731	2917	1068
732	2921	1064
733	2925	1060
734	2930	1056
735	2934	1052
736	2938	1048
737	2942	1044
738	2945	1040
739	2949	1036
740	2953	1032
741	2957	1028
742	2961	1024
743	2965	1020
744	2969	1016
745	2973	1012
746	2977	1008
747	2982	1004
748	2986	1000
749	2990	996
750	2994	992
751	2998	988
752	3002	984
753	3006	980
754	3010	976
755	3014	972
756	3018	968
757	3022	965
758	3027	961
759	3031	957
760	3036	953
761	3040	949
762	3043	945
763	3048	941
764	3052	937
765	3056	933
766	3060	929
767	3064	925
768	3068	921
769	3072	917
770	3075	913
771	3079	909
772	3084	905
773	3089	902
774	3093	898
775	3097	894
776	3101	890
777	3106	886
778	3109	882
779	3114	878
780	3118	874
781	3122	870
782	3126	866
783	3131	862
784	3135	858
785	3140	854
786	3144	851
787	3148	847
788	3152	843
789	3156	839
790	3160	835
791	3164	831
792	3168	827
793	3173	823
794	3177	819
795	3181	815
796	3185	811
797	3189	807
798	3194	803
799	3198	799
800	3201	795
801	3205	791
802	3210	787
803	3214	783
804	3218	779
805	3221	775
806	3226	771
807	3231	767
808	3235	763
809	3239	759
810	3244	756
811	3248	752
812	3252	748
813	3257	744
814	3261	740
815	3265	736
816	3269	732
817	3273	728
818	3277	724
819	3282	720
820	3286	716
821	3289	712
822	3293	708
823	3297	704
824	3301	700
825	3306	696
826	3309	692
827	3313	688
828	3317	684
829	3323	680
830	3327	676
831	3331	672
832	3336	668
833	3342	665
834	3346	661
835	3351	657
836	3355	653
837	3359	649
838	3363	645
839	3368	641
840	3372	637
841	3377	633
842	3381	629
843	3386	625
844	3390	621
845	3394	617
846	3398	613
847	3403	610
848	3407	606
849	3411	602
850	3415	598
851	3419	593
852	3423	589
853	3428	586
854	3432	582
855	3436	578
856	3440	574
857	3444	570
858	3448	566
859	3452	562
860	3456	557
861	3460	554
862	3464	549
863	3468	545
864	3472	541
865	3477	538
866	3481	534
867	3485	530
868	3489	526
869	3493	522
870	3497	518
871	3502	514
872	3506	510
873	3510	506
874	3515	502
875	3519	498
876	3523	494
877	3527	490
878	3531	486
879	3535	482
880	3539	478
881	3543	474
882	3546	469
883	3550	465
884	3554	461
885	3558	457
886	3562	453
887	3566	449
888	3570	445
889	3574	441
890	3578	437
891	3582	433
892	3587	429
893	3591	425
894	3594	421
895	3598	417
896	3603	413
897	3607	409
898	3611	405
899	3615	401
900	3619	397
901	3623	393
902	3627	389
903	3631	385
904	3635	381
905	3639	377
906	3643	373
907	3648	369
908	3651	365
909	3655	361
910	3659	357
911	3664	353
912	3667	349
913	3671	345
914	3675	341
915	3679	337
916	3684	333
917	3688	329
918	3692	325
919	3696	321
920	3700	317
921	3704	313
922	3708	309
923	3712	305
924	3716	301
925	3720	297
926	3724	293
927	3727	289
928	3731	285
929	3735	281
930	3739	277
931	3743	273
932	3747	269
933	3751	265
934	3755	261
935	3759	257
936	3763	253
937	3767	249
938	3771	245
939	3775	241
940	3779	236
941	3783	232
942	3786	228
943	3790	224
944	3794	220
945	3798	216
946	3802	212
947	3806	208
948	3810	204
949	3813	200
950	3817	196
951	3820	192
952	3824	188
953	3827	184
954	3831	180
955	3835	176
956	3839	172
957	3843	168
958	3846	164
959	3850	160
960	3854	156
961	3858	152
962	3862	148
963	3866	144
964	3870	140
965	3875	136
966	3878	132
967	3882	128
968	3886	124
969	3889	120
970	3893	116
971	3897	112
972	3900	108
973	3904	104
974	3909	100
975	3913	96
976	3917	92
977	3921	88
978	3925	84
979	3929	80
980	3933	76
981	3937	72
982	3940	68
983	3945	64
984	3949	60
985	3953	56
986	3956	52
987	3960	48
988	3964	44
989	3968	40
990	3972	36
991	3976	32
992	3980	28
993	3984	24
994	3988	20
995	3992	16
996	3996	12
997	4000	8
998	4003	4
999	4007	0
